Gene,Bacteria,Present,Category
HopAJ1,G.quercinecans FRB97,0,Effector
HopPtoC,G.quercinecans FRB97,0,Effector
HopAV1,G.quercinecans FRB97,0,Effector
HopAF1,G.quercinecans FRB97,1,Effector
HopI1,G.quercinecans FRB97,0,Effector
HopAE1,G.quercinecans FRB97,0,Effector
HopAJ2,G.quercinecans FRB97,1,Effector
HopAB1,G.quercinecans FRB97,0,Effector
HopE1,G.quercinecans FRB97,0,Effector
HopAW1,G.quercinecans FRB97,0,Effector
HopP1,G.quercinecans FRB97,0,Effector
AvrBs2,G.quercinecans FRB97,0,Effector
AvrA,G.quercinecans FRB97,0,Effector
AvrRxv,G.quercinecans FRB97,0,Effector
AvrRpm1,G.quercinecans FRB97,0,Effector
AvrXccE1,G.quercinecans FRB97,0,Effector
AvrRpt2,G.quercinecans FRB97,0,Effector
AvrBs3,G.quercinecans FRB97,0,Effector
AvrE1,G.quercinecans FRB97,0,Effector
AvrB3,G.quercinecans FRB97,0,Effector
AvrXccB,G.quercinecans FRB97,0,Effector
DspA/E,G.quercinecans FRB97,0,Effector
DspF,G.quercinecans FRB97,0,Effector
Rsc3369,G.quercinecans FRB97,0,Effector
MxiE,G.quercinecans FRB97,1,Effector
ExoU,G.quercinecans FRB97,0,Effector
T2SS,G.quercinecans FRB97,1,T2SS
T3SS,G.quercinecans FRB97,0,T3SS
T4SS,G.quercinecans FRB97,0,T4SS
T6SS,G.quercinecans FRB97,1,T6SS
Flagella,G.quercinecans FRB97,2,Flagella
Pili,G.quercinecans FRB97,1,Pili
Pectate disaccharide-lyase,G.diazotrophicus,0,PCWDE
Pectate lyase,G.diazotrophicus,0,PCWDE
Rhanmogalacturonan endolyase,G.diazotrophicus,0,PCWDE
Pectin lyase,G.diazotrophicus,0,PCWDE
Cellulase,G.diazotrophicus,1,PCWDE
beta-xylanase,G.diazotrophicus,0,PCWDE
Arabinosidase,G.diazotrophicus,0,PCWDE
beta-galactosidase,G.diazotrophicus,0,PCWDE
beta-xylosidase,G.diazotrophicus,0,PCWDE
beta-glucosidase,G.diazotrophicus,1,PCWDE
alpha-galactosidase,G.diazotrophicus,0,PCWDE
Galactanase,G.diazotrophicus,0,PCWDE
Polyglacturonase,G.diazotrophicus,0,PCWDE
Avicelase,G.diazotrophicus,0,PCWDE
alpha-L-arabinosidase,G.diazotrophicus,0,PCWDE
alpha-glucuronidase,G.diazotrophicus,0,PCWDE
Harpin(HrpN),G.diazotrophicus,0,Harpin
Harpin(HrpW),G.diazotrophicus,0,Harpin
Harpin(HrpA2),G.diazotrophicus,0,Harpin
